word,hiragana,romaji,pos,category,domain,source
肋骨,あばらぼね,abarabone,普通名詞,動物-部位,,juman
あばら家,あばらや,abaraya,普通名詞,場所-施設,,juman
あべこべ,あべこべ,abekobe,ナ形容詞,,,juman
浴びる,あびる,abiru,動詞,,,juman
浴びせる,あびせる,abiseru,動詞,,,juman
虻,あぶ,abu,普通名詞,動物,,juman
あぶく,あぶく,abuku,普通名詞,抽象物,,juman
危なげない,あぶなげない,abunagenai,イ形容詞,,,juman
危ない,あぶない,abunai,イ形容詞,,,juman
危なかしい,あぶなかしい,abunakashii,イ形容詞,,,juman
油,あぶら,abura,普通名詞,自然物,,juman
油揚げ,あぶらあげ,aburaage,普通名詞,人工物-食べ物,料理・食事,juman
脂汗,あぶらあせ,aburaase,普通名詞,自然物,健康・医学,juman
油絵,あぶらえ,aburae,普通名詞,人工物-その他;抽象物,文化・芸術,juman
脂ぎる,あぶらぎる,aburagiru,動詞,,,juman
脂っこい,あぶらっこい,aburakkoi,イ形容詞,,料理・食事,juman
脂身,あぶらみ,aburami,普通名詞,動物-部位;人工物-食べ物,料理・食事,juman
油虫,あぶらむし,aburamushi,普通名詞,動物,,juman
油菜,あぶらな,aburana,普通名詞,植物,料理・食事,juman
油売り,あぶらうり,aburauri,サ変名詞,人,,juman
油蝉,あぶらぜみ,aburazemi,普通名詞,動物,,juman
焙る,あぶる,aburu,動詞,,料理・食事,juman
仇討ち,あだうち,adauchi,サ変名詞,抽象物,,juman
あでやか,あでやか,adeyaka,ナ形容詞,,,juman
あどけない,あどけない,adokenai,イ形容詞,,,juman
喘ぐ,あえぐ,aegu,動詞,,,juman
亜鉛,あえん,aen,普通名詞,自然物,,juman
あえない,あえない,aenai,イ形容詞,,,juman
和える,あえる,aeru,動詞,,料理・食事,juman
溢れる,あふれる,afureru,動詞,,,juman
あがく,あがく,agaku,動詞,,,juman
崇める,あがめる,agameru,動詞,,文化・芸術,juman
上り口,あがりぐち,agariguchi,普通名詞,場所-施設部位,,juman
上がる,あがる,agaru,動詞,,,juman
上がったり,あがったり,agattari,普通名詞,抽象物,,juman
揚げ足,あげあし,ageashi,普通名詞,抽象物,,juman
揚げ羽蝶,あげはちょう,agehacho,普通名詞,動物,,juman
揚げ物,あげもの,agemono,普通名詞,人工物-食べ物,料理・食事,juman
上げ下ろし,あげおろし,ageoroshi,サ変名詞,抽象物,,juman
上げる,あげる,ageru,動詞,,,juman
上げ下げ,あげさげ,agesage,サ変名詞,抽象物,,juman
上げ潮,あげしお,ageshio,普通名詞,抽象物,,juman
顎,あご,ago,普通名詞,動物-部位,,juman
倦む,あぐむ,agumu,動詞,,,juman
あぐら,あぐら,agura,普通名詞,抽象物,,juman
家鴨,あひる,ahiru,普通名詞,動物,料理・食事,juman
相棒,あいぼう,aibo,普通名詞,人,,juman
哀調,あいちょう,aicho,普通名詞,抽象物,文化・芸術,juman
間,あいだ,aida,時相名詞,場所-機能;時間,,juman
愛読,あいどく,aidoku,サ変名詞,抽象物,レクリエーション,juman
合い服,あいふく,aifuku,普通名詞,人工物-衣類,家庭・暮らし,juman
愛玩,あいがん,aigan,サ変名詞,抽象物,レクリエーション,juman
愛育,あいいく,aiiku,サ変名詞,抽象物,家庭・暮らし,juman
愛飲,あいいん,aiin,サ変名詞,抽象物,料理・食事,juman
藍色,あいいろ,aiiro,普通名詞,色,,juman
