word,hiragana,romaji,note
# 以下は AI (Claude) が「抽象語だが日常的で覚えやすい」と判断して初期選定した語 (JUMAN の abstract_word 除外分から復活)。人間が自由に追加・削除してよい。,,,
挨拶,あいさつ,,ai_seed_abstract
愛情,あいじょう,,ai_seed_abstract
合図,あいず,,ai_seed_abstract
握手,あくしゅ,,ai_seed_abstract
案内,あんない,,ai_seed_abstract
悪夢,あくむ,,ai_seed_abstract
青空,あおぞら,,ai_seed_abstract
嵐,あらし,,ai_seed_abstract
朝霧,あさぎり,,ai_seed_abstract
足音,あしおと,,ai_seed_abstract
爆笑,ばくしょう,,ai_seed_abstract
場面,ばめん,,ai_seed_abstract
番号,ばんごう,,ai_seed_abstract
冒険,ぼうけん,,ai_seed_abstract
吹雪,ふぶき,,ai_seed_abstract
復活,ふっかつ,,ai_seed_abstract
知恵,ちえ,,ai_seed_abstract
遅刻,ちこく,,ai_seed_abstract
挑戦,ちょうせん,,ai_seed_abstract
調子,ちょうし,,ai_seed_abstract
伝説,でんせつ,,ai_seed_abstract
努力,どりょく,,ai_seed_abstract
応援,おうえん,,ai_seed_abstract
大声,おおごえ,,ai_seed_abstract
大空,おおぞら,,ai_seed_abstract
大波,おおなみ,,ai_seed_abstract
夕立,ゆうだち,,ai_seed_abstract
約束,やくそく,,ai_seed_abstract
役割,やくわり,,ai_seed_abstract
闇,やみ,,ai_seed_abstract
山彦,やまびこ,,ai_seed_abstract
運動,うんどう,,ai_seed_abstract
運命,うんめい,,ai_seed_abstract
津波,つなみ,,ai_seed_abstract
竜巻,たつまき,,ai_seed_abstract
月見,つきみ,,ai_seed_abstract
月夜,つきよ,,ai_seed_abstract
天気,てんき,,ai_seed_abstract
天然,てんねん,,ai_seed_abstract
探検,たんけん,,ai_seed_abstract
宝物,たからもの,,ai_seed_abstract
台風,たいふう,,ai_seed_abstract
対話,たいわ,,ai_seed_abstract
相談,そうだん,,ai_seed_abstract
潮風,しおかぜ,,ai_seed_abstract
潮騒,しおさい,,ai_seed_abstract
信頼,しんらい,,ai_seed_abstract
深呼吸,しんこきゅう,,ai_seed_abstract
新月,しんげつ,,ai_seed_abstract
失敗,しっぱい,,ai_seed_abstract
質問,しつもん,,ai_seed_abstract
試練,しれん,,ai_seed_abstract
自慢,じまん,,ai_seed_abstract
時雨,しぐれ,,ai_seed_abstract
作戦,さくせん,,ai_seed_abstract
青春,せいしゅん,,ai_seed_abstract
声援,せいえん,,ai_seed_abstract
説明,せつめい,,ai_seed_abstract
拍手,はくしゅ,,ai_seed_abstract
発表,はっぴょう,,ai_seed_abstract
反省,はんせい,,ai_seed_abstract
返事,へんじ,,ai_seed_abstract
日光,にっこう,,ai_seed_abstract
虹,にじ,,ai_seed_abstract
稲妻,いなずま,,ai_seed_abstract
稲光,いなびかり,,ai_seed_abstract
意見,いけん,,ai_seed_abstract
意味,いみ,,ai_seed_abstract
準備,じゅんび,,ai_seed_abstract
順番,じゅんばん,,ai_seed_abstract
呪文,じゅもん,,ai_seed_abstract
情熱,じょうねつ,,ai_seed_abstract
上達,じょうたつ,,ai_seed_abstract
常識,じょうしき,,ai_seed_abstract
人生,じんせい,,ai_seed_abstract
忍術,にんじゅつ,,ai_seed_abstract
忍耐,にんたい,,ai_seed_abstract
熱中,ねっちゅう,,ai_seed_abstract
謎,なぞ,,ai_seed_abstract
名前,なまえ,,ai_seed_abstract
内緒,ないしょ,,ai_seed_abstract
矛盾,むじゅん,,ai_seed_abstract
目標,もくひょう,,ai_seed_abstract
目的,もくてき,,ai_seed_abstract
迷信,めいしん,,ai_seed_abstract
名案,めいあん,,ai_seed_abstract
命令,めいれい,,ai_seed_abstract
満開,まんかい,,ai_seed_abstract
満点,まんてん,,ai_seed_abstract
真心,まごころ,,ai_seed_abstract
魔法,まほう,,ai_seed_abstract
魔力,まりょく,,ai_seed_abstract
満潮,まんちょう,,ai_seed_abstract
見物,みもの,,ai_seed_abstract
見本,みほん,,ai_seed_abstract
道順,みちじゅん,,ai_seed_abstract
文字,もじ,,ai_seed_abstract
問題,もんだい,,ai_seed_abstract
木霊,こだま,,ai_seed_abstract
洪水,こうずい,,ai_seed_abstract
黒潮,くろしお,,ai_seed_abstract
工夫,くふう,,ai_seed_abstract
訓練,くんれん,,ai_seed_abstract
記憶,きおく,,ai_seed_abstract
記録,きろく,,ai_seed_abstract
気分,きぶん,,ai_seed_abstract
気配,けはい,,ai_seed_abstract
決心,けっしん,,ai_seed_abstract
結果,けっか,,ai_seed_abstract
景色,けしき,,ai_seed_abstract
希望,きぼう,,ai_seed_abstract
北風,きたかぜ,,ai_seed_abstract
絆,きずな,,ai_seed_abstract
告白,こくはく,,ai_seed_abstract
混雑,こんざつ,,ai_seed_abstract
根性,こんじょう,,ai_seed_abstract
号泣,ごうきゅう,,ai_seed_abstract
歓迎,かんげい,,ai_seed_abstract
関係,かんけい,,ai_seed_abstract
環境,かんきょう,,ai_seed_abstract
覚悟,かくご,,ai_seed_abstract
確認,かくにん,,ai_seed_abstract
会話,かいわ,,ai_seed_abstract
解決,かいけつ,,ai_seed_abstract
解説,かいせつ,,ai_seed_abstract
開始,かいし,,ai_seed_abstract
回転,かいてん,,ai_seed_abstract
海風,かいふう,,ai_seed_abstract
会議,かいぎ,,ai_seed_abstract
回復,かいふく,,ai_seed_abstract
勝利,しょうり,,ai_seed_abstract
価値,かち,,ai_seed_abstract
活気,かっき,,ai_seed_abstract
活躍,かつやく,,ai_seed_abstract
活動,かつどう,,ai_seed_abstract
